CCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCC SYNONYM.NEW CCCCCCCCCCCCCCC/
CC                                                                    /
CC                BADA SYNONYM FILE                                   /
CC                                                                    /
CC                                                                    /
CC      File_name: SYNONYM.NEW                                        /
CC                                                                    /
CC      Creation_date: Apr 30 2002                                    /
CC                                                                    /
CC      Modification_date: May 09 2019                                /
CC                                                                    /
CC                                                                    /
CC====== Aircraft List ===============================================/
CC                                                                    /
CC   A/C    MANUFACTURER        NAME OR MODEL             FILE   ICAO /
CD * CH2T   ZENAIR              CH-2000 Zénith           MAGC__  Y    /
CD * CH30   ZENAIR              CH-300 Tri-Zénith        MAGC__  Y    /
CD * CH40   CHAMPION            402 Lancer               C172__  Y    /
CD * CH50   ZENAIR              CH-50 Mini Zénith        SVNH__  Y    /
CD * CH60   ZENAIR              CH-601 Zodiac            EV97__  Y    /
CD * CH70   ZENITH              CH-701 Stol              SVNH__  Y    /
CD * CH7A   BELLANCA            Citabria Aurora 7ECA     MAGC__  Y    /
CD * CH7B   BELLANCA            Citabria Adventure 7GCAA EV97__  Y    /
CD * CHIN   ASAP                Chinook                  EV97__  Y    /
CD * CHIP   LEGER               Super-Chipmunk           DA40__  Y    /
CD * CJ6    NANCHANG            CJ-6                     TB20__  Y    /
CD * CL2P   CANADAIR            CL-215                   S2P___  Y    /
CD * CL2T   CANADAIR            CL-415                   SH36__  Y    /
CD - CL30   BOMBARDIER          Challenger 300           CL30__  Y    /
CD * CL35   BOMBARDIER          Challenger 350           G280__  Y    /
CD * CL41   CANADAIR            CL-41 Tutor              L39___  Y    /
CD * CL44   CANADAIR            CL-44 Forty Four         C130__  N    /
CD - CL60   CANADAIR            Challenger 604           CL60__  Y    /
CD * CN12   CIRCA               Nieuport 12-7/8          SVNH__  Y    /
CD * CN35   CASA                CN-235                   AT43__  Y    /
CD * CNBR   SHORT               Canberra                 F900__  Y    /
CD * CO50   COBALT              Co-50 Valkyrie           M20T__  Y    /
CD * COAR   COBRA               Arrow                    C162__  Y    /
CD * COL3   CESSNA              350 Corvalis             SR22__  Y    /
CD * COL4   CESSNA              400 Corvalis TT          S22T__  Y    /
CD * CONI   LOCKHEED            (Super) Constellation    C160__  Y    /
CD * CORV   WOLFSBERG           Corvus                   DA42__  Y    /
CD * COUG   NESMITH             Cougar                   C162__  Y    /
CD * COUR   HELIO               H-295 Super Courier      C82S__  Y    /
CD * COY2   RANS                S-6 Coyote 2             EV97__  Y    /
CD * COZJ   CO-Z                CozyJet                  SF50__  Y    /
CD * COZY   CO-Z                Cozy                     TB20__  Y    /
CD * CP10   CAP AVIATION        CAP-10                   P28R__  Y    /
CD * CP13   SCINTEX             CP-1310 Super Emeraude   C162__  Y    /
CD * CP20   MUDRY               CAP-20                   E300__  Y    /
CD * CP21   MUDRY               CAP-21                   C162__  Y    /
CD * CP22   CAP AVIATION        CAP-222                  E300__  Y    /
CD * CP23   CAP AVIATION        CAP-232                  E300__  Y    /
CD * CP30   PIEL                CP-30/301/311 Emeraude   C162__  Y    /
CD * CP32   PIEL                CP-320/325/328 Super Eme C162__  Y    /
CD * CR10   DYN'AERO            CR-100/110/120           P28U__  Y    /
CD * CRER   RANS                S-7 Courier              EV97__  Y    /
CD * CRES   PACIFIC AEROSPACE   Cresco                   P750__  Y    /
CD - CRJ1   CANADAIR            CRJ-100                  CRJ1__  Y    /
CD - CRJ2   CANADAIR            CRJ-200                  CRJ2__  Y    /
CD * CRJ7   BOMBARDIER          CRJ-700                  CRJ9__  Y    /
CD - CRJ9   CANADAIR            CRJ-900                  CRJ9__  Y    /
CD - CRJX   BOMBARDIER          CRJ-1000                 CRJX__  Y    /
CD * CRUZ   CZAW                SportCruiser             EV97__  Y    /
CD * CT4    PACIFIC AEROSPACE   CT-4 Airtrainer          P28R__  Y    /
CD * CUCA   CULVER              Cadet                    EV97__  Y    /
CD * CVLP   CONVAIR             CV-240 Convairliner      S2P___  Y    /
CD * CVLT   CANADAIR            CL-66                    ATP___  Y    /
CD * CX5    THATCHER            CX-5                     MAGC__  Y    /
CD * D1     WING                D-1 Derringer            M20P__  Y    /
CD * D11    JODEL               D-11                     MAGC__  Y    /
CD * D139   DORNA               D-139 Blue Bird          C162__  Y    /
CD * D140   JODEL               D-140 Mousquetaire       DA40__  Y    /
CD * D150   JODEL               D-150 Mascaret           EV97__  Y    /
CD * D18    JODEL               D-18/19/20               EV97__  Y    /
CD - D228   DORNIER             228-212                  D228__  Y    /
CD * D250   CENTRE EST          DR-200/250               C162__  Y    /
CD * D253   CENTRE EST          DR-253 Regent            DA40__  Y    /
CD * D28D   DORNIER             Do-28D-2 Skyservant      PA46__  Y    /
CD * D28T   DORNIER             128-6 Turbo Skyservant   P46T__  Y    /
CD * D31    DRUINE              D-31 Turbulent           EV97__  Y    /
CD - D328   DORNIER             328                      D328__  Y    /
CD * D6     AUSTER              D-6                      P28A__  Y    /
CD * D8     FOKKER              D-8 Replica              P28U__  Y    /
CD * DA2    DAVIS               DA-2                     MAGC__  Y    /
CD * DA36   DIAMOND             DA-36 E-Star             DIMO__  Y    /
CD - DA40   DIAMOND             DA40 NG                  DA40__  Y    /
CD - DA42   DIAMOND             DA42 Twin Star           DA42__  Y    /
CD * DA5    DAVIS               DA-5                     EV97__  Y    /
CD * DA50   DIAMOND             DA-50 Magnum             C182__  Y    /
CD - DA62   DIAMOND             DA62                     DA62__  Y    /
CD * DAL4   DALLACH             D-4 Fascination          C162__  Y    /
CD - DC10   MCDONNELL DOUGLAS   DC10-30                  DC10__  Y    /
CD * DC3    DOUGLAS             DC-3                     F27___  Y    /
CD * DC3S   DOUGLAS             R4D-8                    F27___  Y    /
CD * DC3T   BASLER              Turbo 67                 F27___  Y    /
CD * DC4    DOUGLAS             DC-4                     F27___  Y    /
CD * DC6    DOUGLAS             DC-6                     C27J__  Y    /
CD * DC7    DOUGLAS             DC-7 Seven Seas          C130__  Y    /
CD * DC85   DOUGLAS             DC-8-50                  DC87__  Y    /
CD * DC86   DOUGLAS             DC-8-60                  DC87__  Y    /
CD - DC87   DOUGLAS             DC8-72CF                 DC87__  Y    /
CD * DC91   DOUGLAS             DC-9-10                  B712__  Y    /
CD * DC92   DOUGLAS             DC-9-20                  DC94__  Y    /
CD - DC93   DOUGLAS             C9-B                     DC93__  Y    /
CD - DC94   DOUGLAS             DC9-40                   DC94__  Y    /
CD * DC95   DOUGLAS             DC-9-50                  DC94__  Y    /
CD * DEFI   RUTAN               40 Defiant               BE36__  Y    /
CD * DFLY   VIKING              Dragonfly                C162__  Y    /
CD * DG1T   DG FLUGZEUGBAU      DG-1000T                 DIMO__  Y    /
CD * DG40   GLASER-DIRKS        DG-400                   SF25__  Y    /
CD * DG50   GLASER-DIRKS        DG-500M                  DIMO__  Y    /
CD * DG60   GLASER-DIRKS        DG-600M                  DIMO__  Y    /
CD * DG80   GLASER-DIRKS        DG-800                   DIMO__  Y    /
CD * DH2T   DEHAVILLAND CANADA  DHC-2 Mk3 Turbo Beaver   KODI__  Y    /
CD * DH60   DE HAVILLAND        DH-60 Moth               SVNH__  Y    /
CD * DH80   DE HAVILLAND        DH-80 Puss Moth          C182__  Y    /
CD * DH82   DE HAVILLAND        DH-82 Tiger Moth         SVNH__  Y    /
CD * DH83   DE HAVILLAND        DH-83 Fox Moth           SVNH__  Y    /
CD * DH85   DE HAVILLAND        DH-85 Leopard Moth       T206__  Y    /
CD * DH87   DE HAVILLAND        DH-87 Hornet Moth        SVNH__  Y    /
CD * DH88   DE HAVILLAND        DH-88 Comet Replica      BE58__  Y    /
CD * DH89   DE HAVILLAND        DH-89 Dragon Rapide      DA40__  Y    /
CD - DH8A   DEHAVILLAND CANADA  DHC-8 100                DH8A__  Y    /
CD * DH8B   DEHAVILLAND CANADA  DHC-8 200                DH8C__  Y    /
CD - DH8C   DEHAVILLAND CANADA  DHC-8 300                DH8C__  Y    /
CD - DH8D   DEHAVILLAND CANADA  Dash-8 Q400              DH8D__  Y    /
CD * DHA3   DEHAVILLAND AUSTRAL DHA-3 Drover             C188__  Y    /
CD * DHC1   DEHAVILLAND CANADA  DHC-1 Chipmunk           EV97__  Y    /
CD * DHC2   DEHAVILLAND CANADA  DHC-2 Beaver             C182__  Y    /
CD * DHC3   DEHAVILLAND CANADA  DHC-3 Otter              C182__  Y    /
CD * DHC4   DEHAVILLAND CANADA  DHC-4 Caribou            F27___  Y    /
CD * DHC5   DEHAVILLAND CANADA  DHC-5 Buffalo            SW4___  Y    /
CD * DHC6   DEHAVILLAND CANADA  DHC-6 Twin Otter         C208__  Y    /
CD * DHC7   DEHAVILLAND CANADA  DHC-7 Dash 7             AN30__  Y    /
CD - DIMO   DIAMOND             HK36 TC 100              DIMO__  Y    /
CD * DINO   GANZAVIA            GAK-22 Dinó              MAGC__  Y    /
CD * DISC   SCHEMPP-HIRTH       Discus bT                SF25__  Y    /
CD * DO27   DORNIER             Do-27                    T206__  Y    /
CD * DO28   DORNIER             Do-28A/B                 DA62__  Y    /
CD * DOVE   DE HAVILLAND        DH-104 Dove              PA31__  Y    /
CD * DR10   CENTRE EST          DR-1050 Sicile           MAGC__  Y    /
CD * DR22   CENTRE EST          DR-221 Dauphin           P28A__  Y    /
CD * DR30   ROBIN               DR-315 Petit Prince      C162__  Y    /
CD * DR40   ROBIN               DR-400                   DA40__  Y    /
CD * DT45   DIAMOND             Dart-450                 E500__  Y    /
CD * DTA1   VERHEES             D-1 Delta                EV97__  Y    /
CD * DTA2   VERHEES             D-2 Delta                C162__  Y    /
CD * DUB2   DUBNA               2 Osa                    SVNH__  Y    /
CD * DUOD   SCHEMPP-HIRTH       Duo Discus XLT           DIMO__  Y    /
CD * DV1    DOVA                DV-1 Skylark             C162__  Y    /
CD * DV2    DOVA                DV-2 Infinity            C162__  Y    /
CD * DV20   DIAMOND             DV-20 Katana             C172__  Y    /
CD * E110   EMBRAER             EMB-110 Bandeirante      D228__  Y    /
CD - E120   EMBRAER             EMB-120                  E120__  Y    /
CD * E121   EMBRAER             EMB-121 Xingu            MU2___  Y    /
CD - E135   EMBRAER             EMB-135LR                E135__  Y    /
CD - E145   EMBRAER             EMB-145LR                E145__  Y    /
CD - E170   EMBRAER             ERJ 170-100 IGW          E170__  Y    /
CD - E190   EMBRAER             ERJ 190-100 IGW          E190__  Y    /
CD - E195   EMBRAER             ERJ 190-200 IGW          E195__  Y    /
CD * E2     GRUMMAN             E-2 Hawkeye              C27J__  Y    /
CD * E200   EXTRA               EA-200                   E300__  Y    /
CD * E230   EXTRA               EA-230                   E300__  Y    /
CD * E275   EMBRAER             ERJ-190-500 (E175-E2)    E75L__  Y    /
CD - E290   EMBRAER             ERJ 190-300              E290__  Y    /
CD * E295   EMBRAER             ERJ-190-400 (E195-E2)    B736__  Y    /
CD * E29E   BINDER              EB-29DE                  DIMO__  Y    /
CD - E300   EXTRA               EA 300/L                 E300__  Y    /
CD * E314   EMBRAER             EMB-312H/314             TEX2__  Y    /
CD * E350   CESSNA              E350                     TBM9__  Y    /
CD - E35L   EMBRAER             EMB-135BJ Legacy 600     E35L__  Y    /
CD * E3CF   BOEING              E-3A (CFM56) Sentry      B762__  Y    /
CD * E3TF   BOEING              E-3A (TF33) Sentry       B762__  Y    /
CD * E400   EXTRA               EA-400                   PA34__  Y    /
CD - E45X   EMBRAER             EMB-145XR                E45X__  Y    /
CD - E500   EXTRA               EA 400-500               E500__  Y    /
CD - E50P   EMBRAER             EMB-500 Phenom 100       E50P__  Y    /
CD * E530   CESSNA              E530 Scorpion            AJET__  Y    /
CD - E545   EMBRAER             EMB-545 Legacy 450       E545__  Y    /
CD - E550   EMBRAER             EMB-550 Legacy 500       E550__  Y    /
CD - E55P   EMBRAER             EMB-505 Phenom 300       E55P__  Y    /
CD * E6     BOEING              E-6 Mercury              DC87__  Y    /
CD * E737   BOEING              737-700 Wedgetail        B738__  Y    /
CD - E75L   EMBRAER             ERJ 170-200 IGW EWT      E75L__  Y    /
CD - E75S   EMBRAER             ERJ 170-200 IGW          E75S__  Y    /
CD * E767   BOEING              E-767                    B763__  Y    /
CD * EA40   ECLIPSE             Eclipse 400              EA50__  Y    /
CD - EA50   ECLIPSE             EA500                    EA50__  Y    /
CD * EAGX   EAGLE AIRCRAFT      Eagle 150                C162__  Y    /
CD * EB29   BINDER              EB-29                    DIMO__  Y    /
CD * EBOY   FMA                 20 El Boyero             SVNH__  Y    /
CD * ECHO   TECNAM              P-92 Echo                C162__  Y    /
CD * EDGE   ZIVKO               Edge 540                 E300__  Y    /
CD * EFAN   AIRBUS              E-Fan                    SVNH__  Y    /
CD * EFOX   AEROPRO             Eurofox                  C162__  Y    /
CD * EFUS   MAGNUS              MG-11 eFusion            C162__  Y    /
CD * EGRT   GROB                G-520 Strato 1           LJ25__  Y    /
CD * ELIT   EPIC AIRCRAFT       Epic Elite               C551__  Y    /
CD * ELPS   EXPLORER            Ellipse                  C162__  Y    /
CD * ELSP   A2 CZ               Ellipse Spirit           C162__  Y    /
CD * ELST   PUTZER              Elster                   SF25__  Y    /
CD * EM10   MARGANSKI           EM-10 Bielik             L39___  Y    /
CD * EPIC   EPIC AIRCRAFT       Epic E-1000              PAY3__  Y    /
CD * EPX1   EPERVIER            X-1                      EV97__  Y    /
CD * ERAC   DICKEY              E-Racer                  TB21__  Y    /
CD * ERCO   ERCO                Ercoupe 415-C            C162__  Y    /
CD * ESCA   EPIC AIRCRAFT       Epic Escape              TBM7__  Y    /
CD * ETA    ETA AIRCRAFT        Eta                      DIMO__  Y    /
CD * ETAR   DASSAULT            Super Etendard           HAWK__  Y    /
CD * EUFI   EUROFIGHTER         Typhoon                  F16___  Y    /
CD * EUPA   EUROPA              Europa                   C162__  Y    /
CD - EV97   EVEKTOR             EV-97 EuroStar           EV97__  Y    /
CD * EVIC   EPIC AIRCRAFT       Epic Victory             SF50__  Y    /
CD * EVOP   LANCAIR             Evolution Piston         C340__  Y    /
CD * EVOT   LANCAIR             Evolution Turbine        TBM7__  Y    /
CD * EVSS   EVEKTOR             SportStar                SVNH__  Y    /
CD * EXPR   WHEELER             Express                  TB20__  Y    /
CD * EZFL   BLUE YONDER         E-Z Flyer                SVNH__  Y    /
CD * EZFT   BLUE YONDER         E-Z Twin E-Z Flyer       EV97__  Y    /
CD * EZHV   BLUE YONDER         E-Z Harvard              SVNH__  Y    /
CD * EZKC   BLUE YONDER         E-Z King Cobra           SVNH__  Y    /
CD * F1     MITSUBISHI          F-1                      HAWK__  Y    /
CD - F100   FOKKER              100                      F100__  Y    /
CD * F104   LOCKHEED            F-104 Starfighter        F16___  Y    /
CD * F106   CONVAIR             F-106 Delta Dart         F16___  Y    /
CD * F111   GENERAL DYNAMICS    F-111 Aardvark           F15___  Y    /
CD * F117   LOCKHEED            F-117 Nighthawk          A10___  Y    /
CD * F14    GRUMMAN             F-14 Tomcat              F15___  Y    /
CD - F15    MCDONNELL DOUGLAS   F-15E                    F15___  Y    /
CD - F16    GENERAL DYNAMICS    F-16C                    F16___  Y    /
CD * F16X   GENERAL DYNAMICS    F-16XL Fighting Falcon   F16___  Y    /
CD * F18H   BOEING              F/A-18C/D Hornet         F16___  Y    /
CD * F18S   BOEING              F/A-18E/F Super Hornet   F16___  Y    /
CD * F1FV   AVION               F-1 Favorit              E300__  Y    /
CD * F2     MITSUBISHI          F-2                      F16___  Y    /
CD * F22    LOCKHEED MARTIN     F-22 Raptor              F15___  Y    /
CD * F260   SIAI-MARCHETTI      SF-260                   M20P__  Y    /
CD * F26T   AERMACCHI           SF-260TP                 E500__  Y    /
CD - F27    FOKKER              F27-500 Friendship       F27___  Y    /
CD - F28    FOKKER              F28-4000 Fellowship      F28___  Y    /
CD - F2TH   DASSAULT            Falcon 2000EX            F2TH__  Y    /
CD * F30    GOLDEN CAR          F-30 Brio                C182__  Y    /
CD * F35    LOCKHEED MARTIN     F-35A Lightning II       F16___  Y    /
CD * F4     MCDONNELL           F-4 Phantom 2            F16___  Y    /
CD - F406   CESSNA              406                      F406__  Y    /
CD * F5     NORTHROP            F-5                      AJET__  Y    /
CD - F50    FOKKER              50                       F50___  Y    /
CD * F5SA   IRIAF               Saeghe                   AJET__  Y    /
CD * F60    FOKKER              60                       F50___  Y    /
CD * F600   SIAI-MARCHETTI      SF-600 Canguro           KODI__  Y    /
CD - F70    FOKKER              70                       F70___  Y    /
CD * F8     LTV                 F-8 Crusader             F16___  Y    /
CD * F86    NORTH AMERICAN      F-86 Sabre               AJET__  Y    /
CD * F8L    SEQUOIA             F-8L Falco               P28T__  Y    /
CD - F900   DASSAULT            Falcon 900EX             F900__  Y    /
CD * FA01   FLAMING AIR         FA-01 Smaragd            C162__  Y    /
CD * FA02   FLAMING AIR         FA-02 Smaragd VLA        C162__  Y    /
CD * FA03   FLAMING AIR         FA-03 Smaragd TMG        DIMO__  Y    /
CD * FA04   FLAMING AIR         FA-04 Peregrine          MAGC__  Y    /
CD - FA10   DASSAULT            Falcon 10                FA10__  Y    /
CD * FA11   FAIRCHILD           F-11 Husky               C188__  Y    /
CD - FA20   DASSAULT            Falcon 20                FA20__  Y    /
CD * FA24   FAIRCHILD           F-24 Argus               MAGC__  Y    /
CD - FA50   DASSAULT            Falcon 50EX              FA50__  Y    /
CD * FA5X   DASSAULT            Falcon 5X                FA7X__  Y    /
CD * FA62   FAIRCHILD           M-62 Cornell             C162__  Y    /
CD - FA7X   DASSAULT            Falcon 7X                FA7X__  Y    /
CD * FA8X   DASSAULT            Falcon 8X                FA7X__  Y    /
CD * FAET   ATEC                321 Faeta                C162__  Y    /
CD * FALM   MILES               M-3 Falcon Major         C162__  Y    /
CD * FBA2   FOUND               FBA-2 Bush Hawk          C210__  Y    /
CD * FDCT   FLIGHT DESIGN       CT                       C162__  Y    /
CD * FDMC   FLIGHT DESIGN       MC                       C162__  Y    /
CD * FFLY   FAIREY              Firefly                  C421__  Y    /
CD - FGTH   GENERIC             military fighter (manoeu FGTH__  N    /
CD - FGTL   GENERIC             military bomber (long ra FGTL__  N    /
CD * FK12   B&F TECHNIK         FK-12 Comet              EV97__  Y    /
CD * FK14   B&F TECHNIK         FK-14 Polaris            C162__  Y    /
CD * FK9    B&F TECHNIK         FK-9                     EV97__  Y    /
CD - FLCO   LEONARDO            Falco                    FLCO__  N    /
CD * FLSS   FLYER               Flyer SS                 MAGC__  Y    /
CD * FM25   FLYING MACHINES     FM-250 Vampire           EV97__  Y    /
CD * FOUG   FOUGA               CM-170R Magister         L39___  Y    /
CD * FOX    DENNEY              Kitfox                   MAGC__  Y    /
CD * FU24   FLETCHER            FU-24                    EV97__  Y    /
CD * FURY   HAWKER              Fury                     C402__  Y    /
CD * FUSI   MAGNUS              MG-11 Fusion             C162__  Y    /
CD * FW02   FLYWHALE            FW-02 Flywhale           C162__  Y    /
CD * FW44   FOCKE-WULF          Fw-44 Stieglitz          MAGC__  Y    /
CD * FX1    INNOVAVIATION       FX-1                     EV97__  Y    /
CD * G103   GROB                G-103C Twin 3SL          DIMO__  Y    /
CD * G109   GROB                G-109                    DIMO__  Y    /
CD * G115   GROB                G-115                    P28U__  Y    /
CD * G120   GROB                G-120A                   BE36__  Y    /
CD * G12T   GROB                G-120TP                  E500__  Y    /
CD * G140   GROB                G-140TP                  E500__  Y    /
CD - G150   GULFSTREAM          G150                     G150__  Y    /
CD * G159   GRUMMAN             G-159 Gulfstream         D328__  Y    /
CD * G160   GROB                G-160 Ranger             KODI__  Y    /
CD * G164   GRUMMAN             G-164 (Super) Ag-Cat     C188__  Y    /
CD * G180   GENERAL AIRCRAFT    G1-80 Skyfarer           MAGC__  Y    /
CD * G200   GILES               G-200                    E300__  Y    /
CD * G202   GILES               G-202                    E300__  Y    /
CD * G21    GRUMMAN             G-21A Goose              BE58__  Y    /
CD * G21M   MCKINNON            G-21C/D Goose            C414__  Y    /
CD * G21T   MCKINNON            G-21E/G Turbo Goose      BE20__  Y    /
CD * G222   ALENIA              G.222                    F27___  Y    /
CD * G250   GULFSTREAM          G250                     G280__  Y    /
CD - G280   GULFSTREAM          G280                     G280__  Y    /
CD * G2GL   SOKO                G-2 Galeb                L39___  Y    /
CD * G2T1   WACO                Great Lakes 2T-1A        EV97__  Y    /
CD * G3     REMOS               G-3 Mirage               MAGC__  Y    /
CD * G44    GRUMMAN             G-44 Widgeon             C188__  Y    /
CD * G4SG   SOKO                G-4 Super Galeb          L39___  Y    /
CD * G70    GROPPO              G-70                     EV97__  Y    /
CD * G73    GRUMMAN             G-73 Mallard             C421__  Y    /
CD * G73T   GRUMMAN             G-73T Turbo Mallard      C208__  Y    /
CD * GA10   GIPPSAERO           GA-10                    P750__  Y    /
CD * GA20   GIPPSLAND           GA-200 Fatman            C188__  Y    /
CD * GA5C   GULFSTREAM          G500 (G-7)               FA7X__  Y    /
CD * GA6C   GULFSTREAM          G600 (G-7)               GL5T__  Y    /
CD * GA7    GRUMMAN AMERICAN    GA-7 Cougar              C210__  Y    /
CD * GA8    GIPPSAERO           GA-8 Airvan TC           P28U__  Y    /
CD * GABR   BLACKSHAPE          Bk-160 Gabriel           E300__  Y    /
CD * GALX   IAI                 1126 Galaxy              G280__  Y    /
CD * GC1    GLOBE               GC-1 Swift               C182__  Y    /
CD * GEMI   MILES               M-65 Gemini              C172__  Y    /
CD * GENI   IFB                 E-Genius                 DIMO__  Y    /
CD - GL5T   BOMBARDIER          Global 5000              GL5T__  Y    /
CD * GL7T   BOMBARDIER          Global 7500              GLEX__  Y    /
CD * GLAS   GLASAIR             Glasair                  M20P__  Y    /
CD - GLEX   BOMBARDIER          Global 6000              GLEX__  Y    /
CD - GLF2   GULFSTREAM          G-1159 Gulfstream II     GLF2__  Y    /
CD * GLF3   GULFSTREAM          III                      GLF2__  Y    /
CD * GLF4   GULFSTREAM          IV                       GLF2__  Y    /
CD - GLF5   GULFSTREAM          G550                     GLF5__  Y    /
CD * GLF6   GULFSTREAM          G650                     GLEX__  Y    /
CD * GLSP   NEW GLASTAR         Sportsman 2+2            P28U__  Y    /
CD * GLST   GLASAIR             GlaStar                  P28U__  Y    /
CD * GM17   INTRACOM            GM-17 Viper              KODI__  Y    /
CD * GNAT   FOLLAND             Fo-144 Gnat              L39___  Y    /
CD * GOLF   TECNAM              P-96 Golf                C162__  Y    /
CD * GP1    JIHLAVAN            Skyleader GP One         MAGC__  Y    /
CD * GP4    OSPREY              GP-4                     TB20__  Y    /
CD * GRIZ   AEROTEK             Turbo Grizzly            P750__  Y    /
CD * GSPN   GROB                G-180 SPn Utility Jet    C550__  Y    /
CD * GX     REMOS               GX                       C162__  Y    /
CD * GY20   CAB                 GY-20 Minicab            EV97__  Y    /
CD * GY80   GARDAN              GY-80 Horizon            C162__  Y    /
CD * H207   HB-FLUGTECHNIK      HB-207 Alfa              C162__  Y    /
CD - H25A   HAWKER SIDDELEY     HS.125-3B                H25A__  Y    /
CD - H25B   HAWKER              800XP                    H25B__  Y    /
CD * H25C   HAWKER              1000                     G150__  Y    /
CD * H40    HOFFMANN            H-40                     EV97__  Y    /
CD - HA4T   HAWKER              4000                     HA4T__  Y    /
CD * HAR    HAWKER SIDDELEY     Harrier                  AJET__  Y    /
CD - HAWK   BRITISH AEROSPACE   T-45A Goshawk            HAWK__  Y    /
CD * HB21   BRDITSCHKA          HB-21 Hobbylifter        DIMO__  Y    /
CD * HB23   BRDITSCHKA          HB-23 Hobbyliner         DIMO__  Y    /
CD * HB3    BRDITSCHKA          HB-3                     EV97__  Y    /
CD - HDJT   HONDA               HA-420 HondaJet          HDJT__  Y    /
CD * HELI   GENERIC             HELICOPTER               P28A__  N    /
CD * HERN   DE HAVILLAND        DH-114 Heron             DA42__  Y    /
CD * HF20   MBB                 HFB-320 Hansa            H25A__  Y    /
CD * HN70   NICOLLIER           HN-700 Menestrel 2       EV97__  Y    /
CD * HR10   ROBIN               HR-100 Tiara             M20P__  Y    /
CD * HR20   ROBIN               HR-200                   MAGC__  Y    /
CD * HRNT   AAK                 Hornet                   MAGC__  Y    /
CD * HU1    SHENYANG SAILPLANE  HU-1 Seagull             DIMO__  Y    /
CD * HU2    SHENYANG SAILPLANE  HU-2 Petrel              DIMO__  Y    /
CD * HUNT   HAWKER              Hunter                   AJET__  Y    /
CD * HURI   HAWKER              Hurricane                P180__  Y    /
CD * HURK   TAI                 Hurkus                   TEX2__  Y    /
CD * HUSK   AVIAT               A-1 Husky                C82S__  Y    /
CD * HYPR   P&M AVIATION        HypR                     SVNH__  Y    /
CD * I3     INTERAVIA           I-3                      DA40__  Y    /
CD * IA63   LMAASA              IA-63 Pampa              L39___  Y    /
CD * IL18   ILYUSHIN            Il-18                    C130__  Y    /
CD * IL38   ILYUSHIN            Il-38                    C30J__  Y    /
CD * IL62   ILYUSHIN            Il-62                    A30B__  Y    /
CD - IL76   ILYUSHIN            Il-76TD                  IL76__  Y    /
CD - IL86   ILYUSHIN            Il-86                    IL86__  Y    /
CD - IL96   ILYUSHIN            Il-96-300                IL96__  Y    /
CD * IMPU   IMPULSE             Impulse                  E300__  Y    /
CD * IR23   ICA                 IAR-823                  SR20__  Y    /
CD * IR99   AVIOANE             IAR-99 Soim              L39___  Y    /
CD * IS28   ICA                 IS-28M2                  DIMO__  Y    /
CD * J1     AUSTER              J-1 Aiglet               C182__  Y    /
CD * J10    CHENGDU             J-10                     F16___  Y    /
CD * J2     PIPER               J-2 Cub                  SVNH__  Y    /
CD * J20    CHENGDU             J-20                     F15___  Y    /
CD * J3     PIPER               J-3 Cub                  SVNH__  Y    /
CD * J328   DORNIER             328 Jet                  E135__  Y    /
CD * J4     PIPER               J-4 Cub Coupe            EV97__  Y    /
CD * JAB2   JABIRU              Jabiru J160              MAGC__  Y    /
CD * JAB4   JABIRU              Jabiru J400              C162__  Y    /
CD * JABI   JABIRU              Jabiru ST                EV97__  Y    /
CD * JAGR   SEPECAT             Jaguar                   F16___  Y    /
CD * JANU   SCHEMPP-HIRTH       Janus CM                 DIMO__  Y    /
CD * JB15   OBERLERCHNER        JOB-15                   C162__  Y    /
CD * JCOM   AERO COMMANDER      1121 Jet Commander       H25A__  Y    /
CD * JK05   EKOLOT              JK-05 Junior             EV97__  Y    /
CD * JPRO   BAC                 145 Jet Provost          L39___  Y    /
CD * JRC1   CHALARD             JRC-01 Julcar            E300__  Y    /
CD * JS1    HANDLEY PAGE        Jetstream 1              D228__  Y    /
CD * JS20   HANDLEY PAGE        Jetstream 200            D228__  Y    /
CD * JS3    CENTURY             Jetstream 3              D228__  Y    /
CD * JS31   BRITISH AEROSPACE   BAe-3100 Jetstream 31    JS32__  Y    /
CD - JS32   BRITISH AEROSPACE   Jetstream 31             JS32__  Y    /
CD - JS41   BRITISH AEROSPACE   Jetstream 41             JS41__  Y    /
CD * JSX    SONEX               JSX SubSonex             E300__  Y    /
CD * JU52   JUNKERS             Ju-52/3m                 S2P___  Y    /
CD * JUNR   MALMO               MFI-9 Junior             C162__  Y    /
CD * K250   KESTREL             K-250                    C172__  Y    /
CD * K35A   BOEING              KC-135A Stratotanker     B703__  N    /
CD * K35E   BOEING              KC-135E Stratotanker     B703__  Y    /
CD * K35R   BOEING              KC-135R Stratotanker     B703__  Y    /
CD * KAT3   KHRUNICHEV          AT-3                     KODI__  Y    /
CD * KC2    KAWASAKI            C-2                      B703__  Y    /
CD * KC39   EMBRAER             KC-390                   A321__  Y    /
CD * KE3    BOEING              KE-3                     DC87__  Y    /
CD * KEST   FARNBOROUGH         Kestrel                  TBM9__  Y    /
CD * KFAB   KITPLANES FOR AFRIC Bushbaby/Explorer        MAGC__  Y    /
CD * KFAS   KITPLANES FOR AFRIC Safari                   MAGC__  Y    /
CD * KFIR   IAI                 Kfir                     F16___  Y    /
